ÁLMOMBAN	VIZSGÁZNI
VIZSGÁZNI	KELLENE
KELLENE	Közeledik
Közeledik	az
az	idõ
idõ	,
,	s
s	mit
mit	is
is	csinálok
csinálok	én
én	?
?	mintha
mintha	semmit
semmit	sem
sem	csinálnék
csinálnék	;
;	még
még	nem
nem	tanultam
tanultam	semmit
semmit	érettségire
érettségire	,
,	számtanból
számtanból	megbukom
megbukom	.
.	Nem
Nem	iskolai
iskolai	félhomályban
félhomályban	,
,	inkább
inkább	mosókonyhagõzben
mosókonyhagõzben	vagy
vagy	valami
valami	köddel
köddel	kitömött
kitömött	tájon
tájon	földtelenül
földtelenül	lebegek
lebegek	.
.	Többször
Többször	,
,	egyre
egyre	többször
többször	visszatérõ
visszatérõ	álom
álom	.
.	Álmomban
Álmomban	az
az	érettségin
érettségin	innen
innen	vagyok
vagyok	,
,	bár
bár	tizenöt
tizenöt	évvel
évvel	túl
túl	azon
azon	.
.	S
S	a
a	valóságban
valóságban	mennyit
mennyit	készültem
készültem	!
!	Olyan
Olyan	volt
volt	az
az	az
az	idõ
idõ	,
,	mint
mint	a
a	börtön
börtön	,
,	mint
mint	katonai
katonai	menetgyakorlat
menetgyakorlat	,
,	mint
mint	százszor
százszor	jobbra
jobbra	át
át	,
,	balra
balra	át
át	;
;	még
még	egyszer
egyszer	Aranybulla
Aranybulla	,
,	Dózsa
Dózsa	György
György	,
,	ott
ott	a
a	kollégium
kollégium	hátsó
hátsó	udvarán
udvarán	,
,	romok
romok	között
között	,
,	a
a	letiport
letiport	gazban
gazban	,
,	az
az	elsõ
elsõ	dugott
dugott	cigaretták
cigaretták	ízével
ízével	a
a	számban
számban	;
;	gyökvonás
gyökvonás	,
,	csillagászat
csillagászat	,
,	gondtalan
gondtalan	csitrik
csitrik	lábfényének
lábfényének	ragyogásában
ragyogásában	.
.	S
S	elõtte
elõtte	pár
pár	nappal
nappal	már
már	az
az	álmatlan
álmatlan	izgalom
izgalom	,
,	szõlõcukorevés
szõlõcukorevés	nyugalomért
nyugalomért	,
,	mások
mások	izgalmára
izgalmára	figyelés
figyelés	,
,	s
s	aztán
aztán	a
a	vizsgán
vizsgán	a
a	21
21	plusz
plusz	2
2	egyenlõ
egyenlõ	24-gyel
24-gyel	szörnyû
szörnyû	tévedése
tévedése	.
.	Most
Most	nincs
nincs	kollégiumudvar
kollégiumudvar	,
,	se
se	tóparti
tóparti	séták
séták	,
,	se
se	tételek
tételek	,
,	se
se	könyvek
könyvek	.
.	Ez
Ez	nem
nem	izgalom
izgalom	,
,	most
most	a
a	sikertelenség
sikertelenség	teljesen
teljesen	nyilvánvaló
nyilvánvaló	,
,	ez
ez	maga
maga	a
a	feneketlen
feneketlen	szorongás
szorongás	.
.	Istenem
Istenem	,
,	már
már	évek
évek	óta
óta	nem
nem	voltam
voltam	számtanórán
számtanórán	,
,	tankönyvet
tankönyvet	se
se	láttam
láttam	,
,	tanár
tanár	sem
sem	törõdik
törõdik	velem
velem	,
,	itt
itt	sincs
sincs	,
,	de
de	mégis
mégis	tekintetét
tekintetét	érzem
érzem	a
a	tarkómon
tarkómon	,
,	amint
amint	a
a	sötétbõl
sötétbõl	éget
éget	.
.	A
A	folytatott
folytatott	álmok
álmok	tovább
tovább	éltetik
éltetik	a
a	lehetetlenséget
lehetetlenséget	,
,	a
a	szorongás
szorongás	szürke
szürke	gyûrûi
gyûrûi	egyre
egyre	kisebbednek
kisebbednek	körülöttem
körülöttem	.
.	Két
Két	életem
életem	van
van	,
,	az
az	egyik
egyik	szüntelen
szüntelen	készülõdés
készülõdés	olyanra
olyanra	,
,	amire
amire	nem
nem	készítettem
készítettem	föl
föl	magam
magam	.
