Rooms;Distance;Postcode;Bedroom;Bathroom;Landsize;YearBuilt;Price
3.500000;10.100000;3126.500000;3.500000;1.500000;649.000000;1910.000000;1.205000
2.958333;10.245833;3091.083333;2.842105;1.368421;484.947368;1963.076923;1.068888
3.271552;8.964655;3091.806034;3.089947;1.645503;481.984127;1942.500000;1.224499
3.181818;8.721818;3078.445455;3.034483;1.459770;908.218391;1941.431373;1.087059
3.279152;8.995760;3099.922261;3.164502;1.627706;553.207792;1945.369427;1.285205
3.191176;8.664216;3093.058824;3.089286;1.648810;460.934524;1948.295238;1.171023
3.330144;9.051675;3093.019139;3.165680;1.639053;505.349112;1948.227273;1.218111
3.452055;9.108219;3102.407534;3.220339;1.665254;544.563559;1948.051613;1.366617
3.356164;9.271233;3096.415525;3.220339;1.734463;513.435028;1947.388889;1.242345
3.272727;8.898182;3090.690909;3.177778;1.622222;500.711111;1949.580645;1.229932
3.354167;8.996528;3100.711806;3.207048;1.726872;510.061674;1944.650000;1.325222
3.262009;9.433188;3084.393013;3.157303;1.516854;480.376404;1945.904348;1.143939
3.114504;9.626718;3075.984733;3.009434;1.443396;474.254717;1945.126984;1.050945
3.127119;8.998305;3085.898305;3.067308;1.519231;441.038462;1955.569444;1.196144
3.208333;8.623214;3088.321429;3.073826;1.536913;464.389262;1949.688172;1.162513
3.268750;9.450000;3100.256250;3.258993;1.661871;551.143885;1948.958763;1.287561
3.293651;8.754762;3093.690476;3.153846;1.730769;520.134615;1939.968254;1.413052
3.217617;8.929016;3092.243523;3.141026;1.660256;467.743590;1946.488889;1.277377
3.268657;8.788433;3096.119403;3.099548;1.633484;800.542986;1946.574468;1.328265
3.243243;9.167117;3096.720721;3.062857;1.634286;504.588571;1950.157480;1.373916
